+2.00001e+08ns 1.68431
+4.00001e+08ns 15.84
+6.00001e+08ns 9.66
+8.00001e+08ns 10.32
+1e+09ns 10.2
+1.2e+09ns 10.26
+1.4e+09ns 10.26
+1.6e+09ns 10.2
+1.8e+09ns 9.78
+2e+09ns 8.22
+2.2e+09ns 10.2
+2.4e+09ns 10.14
+2.6e+09ns 10.08
+2.8e+09ns 10.08
+3e+09ns 10.2
+3.2e+09ns 10.08
+3.4e+09ns 10.08
+3.6e+09ns 10.02
+3.8e+09ns 10.08
+4e+09ns 10.08
+4.2e+09ns 10.02
+4.4e+09ns 10.02
+4.6e+09ns 9.96
+4.8e+09ns 10.08
+5e+09ns 9.96
+5.2e+09ns 9.96
+5.4e+09ns 9.96
+5.6e+09ns 9.96
+5.8e+09ns 10.08
+6e+09ns 9.96
+6.2e+09ns 9.96
+6.4e+09ns 9.96
+6.6e+09ns 10.08
+6.8e+09ns 9.96
+7e+09ns 9.96
+7.2e+09ns 10.02
+7.4e+09ns 9.96
+7.6e+09ns 10.14
+7.8e+09ns 10.02
+8e+09ns 10.02
+8.2e+09ns 10.02
+8.4e+09ns 10.2
+8.6e+09ns 10.08
+8.8e+09ns 10.08
+9e+09ns 10.08
+9.2e+09ns 10.14
+9.4e+09ns 10.26
+9.6e+09ns 7.62
+9.8e+09ns 10.32
+1e+10ns 10.26
+1.02e+10ns 10.2
+1.04e+10ns 10.2
+1.06e+10ns 10.2
+1.08e+10ns 10.26
+1.1e+10ns 10.14
+1.12e+10ns 10.14
+1.14e+10ns 10.02
+1.16e+10ns 10.2
+1.18e+10ns 10.08
+1.2e+10ns 10.02
+1.22e+10ns 10.08
+1.24e+10ns 10.02
+1.26e+10ns 10.14
+1.28e+10ns 7.56
+1.3e+10ns 10.26
+1.32e+10ns 10.08
+1.34e+10ns 10.08
+1.36e+10ns 10.08
+1.38e+10ns 10.2
+1.4e+10ns 10.08
+1.42e+10ns 10.02
+1.44e+10ns 10.08
+1.46e+10ns 10.02
+1.48e+10ns 10.14
+1.5e+10ns 9.96
+1.52e+10ns 10.02
+1.54e+10ns 9.96
+1.56e+10ns 10.08
+1.58e+10ns 9.96
+1.6e+10ns 9.96
+1.62e+10ns 9.96
+1.64e+10ns 9.96
+1.66e+10ns 10.08
+1.68e+10ns 9.96
+1.7e+10ns 9.96
+1.72e+10ns 9.96
+1.74e+10ns 10.08
+1.76e+10ns 9.96
+1.78e+10ns 9.96
+1.8e+10ns 10.02
+1.82e+10ns 10.02
+1.84e+10ns 10.08
+1.86e+10ns 10.02
+1.88e+10ns 10.08
+1.9e+10ns 10.02
+1.92e+10ns 10.2
+1.94e+10ns 10.08
+1.96e+10ns 10.08
+1.98e+10ns 10.08
+2e+10ns 10.14
+2.02e+10ns 10.26
+2.04e+10ns 9.72
+2.06e+10ns 8.1
+2.08e+10ns 10.32
+2.1e+10ns 10.26
+2.12e+10ns 10.2
+2.14e+10ns 10.2
+2.16e+10ns 10.32
